# Terminology glossary: pipe-delimited, columns en|ru|ru_pattern|note.
# "#"-prefixed and blank lines are comments, stripped before parsing.
#
# - en: EN term (word-boundary, case-insensitive match). Rows sharing an en
#   (e.g. duplicate senses, or an abbreviation alongside its spelled-out
#   form) are merged: any one row's translation counts as correct.
# - ru: canonical display translation, for humans -- not used for matching.
# - ru_pattern: what the checker matches, as space-separated tokens: a
#   `word<>` stems (matches any suffix, e.g. "таблиц<>" -> "таблица"/
#   "таблицы"/...); a bare `word` must match exactly (do-not-translate
#   terms, SQL keywords, abbreviations). All tokens must be present.
# - note: optional context for why the row exists. Informational only.
#
# AI/human readers using this as translation guidance (not via
# docs_tool.py): use columns en/ru/note only, ignore ru_pattern. Coverage
# is curated from observed drift, not exhaustive.
en|ru|ru_pattern|note
web interface|веб-интерфейс|веб-интерфейс<>|
SQL query|SQL-запрос|SQL-запрос<>|
TCP port|TCP-порт|TCP-порт<>|
submodule|подмодуль|подмодул<>|
directory|каталог|каталог<>|
Unix domain socket|сокет домена Unix|сокет<> домен<> Unix|
connection|подключение|подключени<>|sense: the client's act of connecting / a connection slot (e.g. max concurrent connections, TCP port used to connect)
connection|соединение|соединени<>|sense: the link/channel itself (e.g. SSL connection, connection string, replication connection)
CIDR notation|CIDR-нотация|CIDR-нотаци<>|
plain text|обычный текст|обычн<> текст<>|
Key distribution center|Key distribution center|Key distribution center|do-not-translate
mapping|сопоставление|сопоставлени<>|
default|по умолчанию|умолчани<>|
realm|область|област<>|
principal|принципал|принципал<>|
fully qualified domain name|полное доменное имя|полн<> доменн<> имя|
private key|закрытый ключ|закрыт<> ключ<>|
log file|лог-файл|лог-файл<>|
primary segment|основной сегмент|основн<> сегмент<>|
mirror segment|зеркальный сегмент|зеркальн<> сегмент<>|
top-level transaction|транзакция верхнего уровня|транзакци<> верхн<> уровн<>|
subtransaction|подтранзакция|подтранзакци<>|
slice|слайс|слайс<>|
severity|критичность|критичност<>|
stack strace|стек вызовов|стек<> вызов<>|
schema search path|путь поиска схемы|пут<> поиск<> схем<>|
session|сессия|сесси<>|sense: generic database connection/login/auth (e.g. session ID, session timeout, user session)
session|сеанс|сеанс<>|sense: bounded maintenance operation with a start/duration/end (e.g. rebalance session, expansion session, concurrent session in a dump/snapshot context)
tablespace|табличное пространство|табличн<> пространств<>|
clause|выражение|выражени<>|
partitioning|партиционирование|партиционировани<>|
unique constraint|ограничение уникальности|ограничени<> уникальност<>|
not-null constraint|ограничение `NOT NULL`|ограничени<> NOT NULL|
primary key constraint|ограничение первичного ключа|ограничени<> первичн<> ключ<>|
check constraint|ограничение-проверка|ограничени<> проверк<>|
foreign key constraint|ограничение внешнего ключа|ограничени<> внешн<> ключ<>|
relation|отношение|отношени<>|
heap table|heap-таблица|heap-таблиц<>|
TOAST table|TOAST-таблица|TOAST-таблиц<>|
append-optimized table|оптимизированная для добавления таблица|оптимизирован<> добавлен<> таблиц<>|
compression|сжатие|сжати<>|
partition|партиция|партици<>|
subpartition|сабпартиция|сабпартици<>|
root partitioned table|родительская партиционированная таблица|родительск<> партиционирован<> таблиц<>|
staging table|staging-таблица|staging-таблиц<>|
serial type|последовательный тип|последовательн<> тип<>|
bitmap index|bitmap-индекс|bitmap-индекс<>|
B-tree index|индекс B-дерево|индекс<> B-дерев<>|
indexes on expressions|индексы по выражениям|индекс<> выражени<>|
multicolumn index|составной индекс|составн<> индекс<>|
cardinality|кардинальность|кардинальност<>|
an index on the column|индекс по столбцу|индекс<> столбц<>|
join|соединение|соедин<>|
product|товар|товар<>|
breadth-first order|порядок "сначала в ширину"|порядок<> ширин<>|
depth-first order|порядок "сначала в глубину"|порядок<> глубин<>|
nested loop join|соединение с вложенным циклом|соединени<> вложенн<> цикл<>|
merge join|соединение слиянием|соединени<> слияни<>|
hash join|хеш-соединение|хеш-соединени<>|
partition elimination|сканирование ограниченного числа партиций|сканировани<> ограниченн<> числ<> партици<>|
worker process|процесс-обработчик|процесс-обработчик<>|
cross join|перекрестное соединение|перекрестн<> соединени<>|
inner join|внутреннее соединение|внутренн<> соединени<>|
resource group|ресурсная группа|ресурсн<> групп<>|
resource queue|ресурсная очередь|ресурсн<> очеред<>|
queued transaction|ожидающая в очереди транзакция|ожидающ<> очеред<> транзакци<>|
workfile|spill-файл|spill-файл<>|
parallel retrieve cursor|параллельный курсор|параллельн<> курсор<>|
endpoint|конечная точка|конечн<> точк<>|
WAL sender|процесс отправки WAL|процесс<> отправк<> WAL|
write-ahead logging|журнал предзаписи|журнал<> предзапис<>|
write-ahead logging|WAL|WAL|usage: acronym typically kept as-is in running prose instead of spelling out журнал предзаписи
WAL|WAL|WAL|usage: kept as-is in prose, not spelled out
content ID|идентификатор контента|идентификатор<> контент<>|
enum type|тип-перечисление|тип-перечислени<>|
enum type|тип перечисления|тип<> перечислени<>|sense: genitive construction used in flowing prose (vs the hyphenated тип-перечисление calque used in compact type-code bullet lists)
web table|веб-таблица|веб-таблиц<>|
foreign data wrapper|обертка сторонних данных|обертк<> сторонн<> данн<>|
foreign server|сторонний сервер|сторонн<> сервер<>|
selectivity|селективность|селективност<>|
backend|серверный процесс|серверн<> процесс<>|
restricted mode|ограниченный режим|ограниченн<> режим<>|
embedded SQL|встраиваемый SQL|встраиваем<> SQL|
prepared statement|подготовленный оператор|подготовленн<> оператор<>|
Global Deadlock Detector|процесс обнаружения взаимных блокировок|процесс<> обнаружени<> взаимн<> блокиров<>|
readable table|читающая таблица|читающ<> таблиц<>|
writable table|пишущая таблица|пишущ<> таблиц<>|
leaf partition|листовая партиция|листов<> партици<>|
